sku,ürün adı,fiyat (tl)
SG-OLCU-JBTRAY-001,JB Tray,5000
XPV-KLINIK-AGIZICI-002,Ağız İçi Tarayıcı Qscan7000,230000
HULA-KLINIK-HULASERK2-003,HULASER K2 Mobil Diyot Lazer Cihazı,200000
XPV-KLINIK-RVGYAPAY-SIZE1,RVG | Yapay Zeka Destekli  - Size 1,26000
XPV-KLINIK-RVGYAPAY-SIZE15,RVG | Yapay Zeka Destekli  - Size 1.5,30000
DENT-KLINIK-DCAM-006,D CAM Mini Kamera,16000
VOLD-KLINIK-AIRJETAIR-MAVI,AirJet Air Flow Başlık - Mavi,7500
VOLD-KLINIK-AIRJETAIR-TURUNC,AirJet Air Flow Başlık - Turuncu,7500
SG-KLINIK-MIRRORSUCT-009,Mirror Suction,10000
ICRO-PEDO-PCKSET-48LISE,PÇK Set - 48'li set,4000
ICRO-PEDO-PCKSET-96LISE,PÇK Set - 96'lı set,8000
SG-PEDO-BITESUCTIO-012,Bite Suction (2'li paket),250
SG-PEDO-KLEMPSETI-013,Klemp Seti,2000
DENT-PEDO-COCUKDIS-014,Çocuk Diş Kutusu 25 Adet,250
SG-OLCU-IMPRESSION-015,Impression Saver,3000
SG-OLCU-SMARTSILLI-016,SmartSil Light Body,850
SG-OLCU-SMARTSILPU-017,SmartSil Putty,1500
BRUL-OLCU-BIOKALGINP-018,Biokalgin Pro 453gr,200
BRUL-OLCU-ALGINOMERP-019,Alginomer Plus 453gr,300
BRUL-OLCU-GELMAKPRO-020,Gelmak Pro 453gr ,250
BRUL-OLCU-MUM-021,Mum,250
SG-KARI-AUTOPLUS-022,Auto Plus Tip Yellow,400
SG-KARI-NEW101-KIRMIZ,New 10:1 Mix Tip S141 76.3mm - Kırmızı,200
SG-KARI-NEW101-MAVI,New 10:1 Mix Tip S141 76.3mm - Mavi,200
SG-KARI-AUTOPLUS-025,Auto Plus Tip Red-Blue S134,400
SG-KARI-AUTOPLUS-BLUES1,Auto Plus Tip - Blue S134,400
SG-KARI-AUTOPLUS-027,Auto Plus Tip Red S134,400
SG-KARI-NEWGREEN-028,New Green Mixing Tip S131,200
SG-KARI-NEWYELLOW-029,New Yellow Mixing Tip S130,200
SG-KARI-NEW11-YS1427,New 1:1 Blue Cement Tip - Y S142 76.3mm,200
SG-KARI-NEWPINK-031,New Pink Mixing Tip S132,200
SG-KARI-NEWRESIN-SS124,New Resin Mix Tip (Brown) - S S124,250
SG-KARI-NEWRESIN-LS125,New Resin Mix Tip (Brown) Taper End - L S125,250
SG-KARI-RESINMIX-LONG,Resin Mix Tip-S  - Long,200
SG-KARI-RESINMIX-SHORT,Resin Mix Tip-S  - Short,200
SG-KARI-NEWCEMENT-SFLATE,New Cement Tip - S Flat End S129,200
SG-KARI-NEWCORE-037,New Core Mix (Brown) S123,250
SG-KARI-NEWCEMENT-LFLATE,New Cement Tip - L Flat End S128,200
SG-KARI-NEWCEMENT-LTAPER,New Cement Tip - L Taper End S126,200
SG-KARI-COREMIX-040,Core Mix Tip S131-A,200
SG-KARI-NEWCEMENT-STAPER,New Cement Tip - S Taper End S127,200
SG-KARI-COREORAL-042,Core Oral Tip S117,200
SG-KARI-COREORAL-043,Core Oral Tip-B S120,200
SG-KARI-RESINMIX-LONG1,Resin Mix Tip (Brown) Taper End  - Long,250
SG-KARI-RESINMIX-SHORT1,Resin Mix Tip (Brown) Taper End  - Short,250
SG-KARI-ENDOORAL-046,Endo Oral Tip-S146,200
SG-KARI-41CEMENT-LONG,4:1 Cement Tip Taper End - Long,200
SG-KARI-41CEMENT-SHORT,4:1 Cement Tip Taper End - Short,200
SG-KARI-YELLOWMIX-049,Yellow Mix Tip S130-A,200
SG-KARI-BLUEMIX-050,Blue Mix Tip-B S139,200
SG-KARI-GREENMIX-051,Green Mix Tip S131-A,200
SG-KARI-COREMIX-052,Core Mix (Brown) S124-A,250
SG-KARI-RESINMIX-A,Resin Mix Tip Long (Brown) S125 - A,250
SG-KARI-ENDOORAL-054,Endo Oral Tip-L S118,200
SG-KARI-WHITEORAL-055,White Oral S116,200
SG-KARI-YELLOWMIXI-056,Yellow Mixing Tip,200
SG-KARI-101MIX-057,10:1 Mix Tip ,200
SG-KARI-YELLOWORAL-058,Yellow Oral Tip S115,200
SG-KARI-NEWBLUE-059,New Blue Mix Tip S133,200
SG-KARI-COREORAL-060,Core Oral Tip-Y S119,200
SG-KARI-BITEORAL-061,Bite Oral Tip S122,200
SG-KARI-BLUECEMENT-062,Blue CementTip-L,200
SG-OLCU-JBFORK-063,JB Fork,5000
VOLD-KLINIK-PROJET2-313,ProJet 2,11500
SG-OLCU-ZIRADD-314,Zir Add,3500
SG-KLINIK-MIRRORSUCT-315,Mirror Suction Ayna Başlık (6 Adet),4000
SG-OLCU-SMARTSIL-316,Smart Sil Bite Registration,1000
ICRO-PEDO-ICROWNPCK-USTSAG,iCrown PÇK Refill 5'li Paket 1 Adet - Üst Sağ,400
ICRO-PEDO-ICROWNPCK-USTSAG1,iCrown PÇK Refill 5'li Paket 1 Adet - Üst Sağ,400
ICRO-PEDO-ICROWNPCK-USTSAG2,iCrown PÇK Refill 5'li Paket 1 Adet - Üst Sağ,400
ICRO-PEDO-ICROWNPCK-USTSAG3,iCrown PÇK Refill 5'li Paket 1 Adet - Üst Sağ,400
ICRO-PEDO-ICROWNPCK-USTSAG4,iCrown PÇK Refill 5'li Paket 1 Adet - Üst Sağ,400
ICRO-PEDO-ICROWNPCK-USTSAG5,iCrown PÇK Refill 5'li Paket 1 Adet - Üst Sağ,400
ICRO-PEDO-ICROWNPCK-USTSAG6,iCrown PÇK Refill 5'li Paket 1 Adet - Üst Sağ,400
ICRO-PEDO-ICROWNPCK-USTSAG7,iCrown PÇK Refill 5'li Paket 1 Adet - Üst Sağ,400
ICRO-PEDO-ICROWNPCK-USTSAG8,iCrown PÇK Refill 5'li Paket 1 Adet - Üst Sağ,400
ICRO-PEDO-ICROWNPCK-USTSAG9,iCrown PÇK Refill 5'li Paket 1 Adet - Üst Sağ,400
ICRO-PEDO-ICROWNPCK-USTSAG10,iCrown PÇK Refill 5'li Paket 1 Adet - Üst Sağ,400
ICRO-PEDO-ICROWNPCK-USTSAG11,iCrown PÇK Refill 5'li Paket 1 Adet - Üst Sağ,400
ICRO-PEDO-ICROWNPCK-USTSOL,iCrown PÇK Refill 5'li Paket 1 Adet - Üst Sol,400
ICRO-PEDO-ICROWNPCK-USTSOL1,iCrown PÇK Refill 5'li Paket 1 Adet - Üst Sol,400
ICRO-PEDO-ICROWNPCK-USTSOL2,iCrown PÇK Refill 5'li Paket 1 Adet - Üst Sol,400
ICRO-PEDO-ICROWNPCK-USTSOL3,iCrown PÇK Refill 5'li Paket 1 Adet - Üst Sol,400
ICRO-PEDO-ICROWNPCK-USTSOL4,iCrown PÇK Refill 5'li Paket 1 Adet - Üst Sol,400
ICRO-PEDO-ICROWNPCK-USTSOL5,iCrown PÇK Refill 5'li Paket 1 Adet - Üst Sol,400
ICRO-PEDO-ICROWNPCK-USTSOL6,iCrown PÇK Refill 5'li Paket 1 Adet - Üst Sol,400
ICRO-PEDO-ICROWNPCK-USTSOL7,iCrown PÇK Refill 5'li Paket 1 Adet - Üst Sol,400
ICRO-PEDO-ICROWNPCK-USTSOL8,iCrown PÇK Refill 5'li Paket 1 Adet - Üst Sol,400
ICRO-PEDO-ICROWNPCK-USTSOL9,iCrown PÇK Refill 5'li Paket 1 Adet - Üst Sol,400
ICRO-PEDO-ICROWNPCK-USTSOL10,iCrown PÇK Refill 5'li Paket 1 Adet - Üst Sol,400
ICRO-PEDO-ICROWNPCK-USTSOL11,iCrown PÇK Refill 5'li Paket 1 Adet - Üst Sol,400
ICRO-PEDO-ICROWNPCK-ALTSAG,iCrown PÇK Refill 5'li Paket 1 Adet - Alt Sağ,400
ICRO-PEDO-ICROWNPCK-ALTSAG1,iCrown PÇK Refill 5'li Paket 1 Adet - Alt Sağ,400
ICRO-PEDO-ICROWNPCK-ALTSAG2,iCrown PÇK Refill 5'li Paket 1 Adet - Alt Sağ,400
ICRO-PEDO-ICROWNPCK-ALTSAG3,iCrown PÇK Refill 5'li Paket 1 Adet - Alt Sağ,400
ICRO-PEDO-ICROWNPCK-ALTSAG4,iCrown PÇK Refill 5'li Paket 1 Adet - Alt Sağ,400
ICRO-PEDO-ICROWNPCK-ALTSAG5,iCrown PÇK Refill 5'li Paket 1 Adet - Alt Sağ,400
ICRO-PEDO-ICROWNPCK-ALTSAG6,iCrown PÇK Refill 5'li Paket 1 Adet - Alt Sağ,400
ICRO-PEDO-ICROWNPCK-ALTSAG7,iCrown PÇK Refill 5'li Paket 1 Adet - Alt Sağ,400
ICRO-PEDO-ICROWNPCK-ALTSAG8,iCrown PÇK Refill 5'li Paket 1 Adet - Alt Sağ,400
ICRO-PEDO-ICROWNPCK-ALTSAG9,iCrown PÇK Refill 5'li Paket 1 Adet - Alt Sağ,400
ICRO-PEDO-ICROWNPCK-ALTSAG10,iCrown PÇK Refill 5'li Paket 1 Adet - Alt Sağ,400
ICRO-PEDO-ICROWNPCK-ALTSAG11,iCrown PÇK Refill 5'li Paket 1 Adet - Alt Sağ,400
ICRO-PEDO-ICROWNPCK-ALTSOL,iCrown PÇK Refill 5'li Paket 1 Adet - Alt Sol,400
ICRO-PEDO-ICROWNPCK-ALTSOL1,iCrown PÇK Refill 5'li Paket 1 Adet - Alt Sol,400
ICRO-PEDO-ICROWNPCK-ALTSOL2,iCrown PÇK Refill 5'li Paket 1 Adet - Alt Sol,400
ICRO-PEDO-ICROWNPCK-ALTSOL3,iCrown PÇK Refill 5'li Paket 1 Adet - Alt Sol,400
ICRO-PEDO-ICROWNPCK-ALTSOL4,iCrown PÇK Refill 5'li Paket 1 Adet - Alt Sol,400
ICRO-PEDO-ICROWNPCK-ALTSOL5,iCrown PÇK Refill 5'li Paket 1 Adet - Alt Sol,400
ICRO-PEDO-ICROWNPCK-ALTSOL6,iCrown PÇK Refill 5'li Paket 1 Adet - Alt Sol,400
ICRO-PEDO-ICROWNPCK-ALTSOL7,iCrown PÇK Refill 5'li Paket 1 Adet - Alt Sol,400
ICRO-PEDO-ICROWNPCK-ALTSOL8,iCrown PÇK Refill 5'li Paket 1 Adet - Alt Sol,400
ICRO-PEDO-ICROWNPCK-ALTSOL9,iCrown PÇK Refill 5'li Paket 1 Adet - Alt Sol,400
ICRO-PEDO-ICROWNPCK-ALTSOL10,iCrown PÇK Refill 5'li Paket 1 Adet - Alt Sol,400
ICRO-PEDO-ICROWNPCK-ALTSOL11,iCrown PÇK Refill 5'li Paket 1 Adet - Alt Sol,400
SG-PASL-PCKREFILL-SAGUST,Pçk Refill 5'li Paket - Sağ Üst,0
SG-PASL-PCKREFILL-SAGUST1,Pçk Refill 5'li Paket - Sağ Üst,0
SG-PASL-PCKREFILL-SOLUST,Pçk Refill 5'li Paket - Sol Üst,0
SG-PASL-PCKREFILL-SOLUST1,Pçk Refill 5'li Paket - Sol Üst,0
SG-PASL-PCKREFILL-SAGALT,Pçk Refill 5'li Paket - Sağ Alt,0
SG-PASL-PCKREFILL-SAGALT1,Pçk Refill 5'li Paket - Sağ Alt,0
SG-PASL-PCKREFILL-SOLALT,Pçk Refill 5'li Paket - Sol Alt,0
SG-PASL-PCKREFILL-SOLALT1,Pçk Refill 5'li Paket - Sol Alt,0
SG-KARI-YENITIP-434,Yeni Tip Karıştırma Uçları Paketi,0
SG-KARI-CIFTSIRING-435,Çift Şırınga için Yeni Karıştırma Uçları Paketi,0
SG-KARI-KAPAKTIPI-436,Kapak Tipi Karıştırma Uçları,0
SG-KARI-CIFTSIRING-437,Çift Şırınga İçin Ağız Ucu Paketi,0
SG-KARI-KARTUSSIST-438,Kartuş Sistemi İçin Ağız Uçları Paketi,0
SG-KARI-NEW101-439,NEW 10:1 MIX TIP S142,200
SG-KARI-AUTOPLUS-440,Auto Plus Makina Ucu,0
KORO-OLCU-SERTDIS-TYPE41,Sert Diş Alçısı (Dental Stone) - Type 3 & Type 4 1.5 KG - Korock 20 (Extra Hard - Type 4) 1.5 KG,300
KORO-OLCU-SERTDIS-TYPE31,Sert Diş Alçısı (Dental Stone) - Type 3 & Type 4 1.5 KG - Korock 23 (Highly Hard - Type 3) 1.5 KG,300
