reference_sku,reference_name,detected_category,detected_model,detected_holder,detected_diameter,detected_type_or_grit,existing_family_match,proposed_action,priority
JOT-601-RA-ARK,Jota 601 Arkansas Ön Polisaj Frezi,Aşındırıcı Taşlar,601,RA,,ARK,601,Batch 01: add missing variant to existing family after dry-run import plan.,1
JOT-6198-RA-ARK,Jota 6198 Arkansas Ön Polisaj Frezi,Aşındırıcı Taşlar,6198,RA,,ARK,6198,Batch 01: add missing variant to existing family after dry-run import plan.,1
JOT-645-RA-ARK,Jota 645 Arkansas Ön Polisaj Frezi,Aşındırıcı Taşlar,645,RA,,ARK,645,Batch 01: add missing variant to existing family after dry-run import plan.,1
JOT-661-RA-ARK,Jota 661 Arkansas Ön Polisaj Frezi,Aşındırıcı Taşlar,661,RA,,ARK,661,Batch 01: add missing variant to existing family after dry-run import plan.,1
JOT-666-RA-ARK,Jota 666 Arkansas Ön Polisaj Frezi,Aşındırıcı Taşlar,666,RA,,ARK,666,Batch 01: add missing variant to existing family after dry-run import plan.,1
JOT-801-FG-008,Jota 801 Elmas Frez - Mavi Kuşak (Standard) Yuvarlak (Round) Genel Preparasyon Frezi,Elmas Frezler,801,FG,008,,801,Batch 01: add missing variant to existing family after dry-run import plan.,1
JOT-801-FG-021,Jota 801 Elmas Frez - Mavi Kuşak (Standard) Yuvarlak (Round) Genel Preparasyon Frezi,Elmas Frezler,801,FG,021,,801,Batch 01: add missing variant to existing family after dry-run import plan.,1
JOT-801XL-FG-014,Jota 801 Elmas Frez - Mavi Kuşak (Standard) Yuvarlak (Round) Genel Preparasyon Frezi,Elmas Frezler,801XL,FG,014,,801,Batch 01: add missing variant to existing family after dry-run import plan.,1
JOT-801XL-FG-018,Jota 801 Elmas Frez - Mavi Kuşak (Standard) Yuvarlak (Round) Genel Preparasyon Frezi,Elmas Frezler,801XL,FG,018,,801,Batch 01: add missing variant to existing family after dry-run import plan.,1
JOT-833-EFG-023,Jota 833EF Elmas Frez - Sarı Extra İnce Armut / Torpido Elmas Frez,Elmas Frezler,833,EFG,023,,833,Batch 01: add missing variant to existing family after dry-run import plan.,1
JOT-83O-EFFG-018,Jota 830EF Elmas Frez - Sarı Extra İnce Alev (Flame) Elmas Frez,Elmas Frezler,83O,EFFG,018,EF,830,Batch 01: add missing variant to existing family after dry-run import plan.,1
JOT-83O-EFFG-021,Jota 830EF Elmas Frez - Sarı Extra İnce Alev (Flame) Elmas Frez,Elmas Frezler,83O,EFFG,021,EF,830,Batch 01: add missing variant to existing family after dry-run import plan.,1
JOT-83O-EFFG-023,Jota 830EF Elmas Frez - Sarı Extra İnce Alev (Flame) Elmas Frez,Elmas Frezler,83O,EFFG,023,EF,830,Batch 01: add missing variant to existing family after dry-run import plan.,1
JOT-862-GFG-015,Jota 862G Elmas Frez - Yeşil Kuşak (Kaba) Konik Hızlı Preparasyon Frezi,Elmas Frezler,862,GFG,015,G,862,Batch 01: add missing variant to existing family after dry-run import plan.,1
JOT-9501F-RA-POL,Jota 9501F Metal Cilalama Ucu (Polisher) - Step 3,Cilalama Frezleri,9501F,RA,,POL,9501,Batch 01: add missing variant to existing family after dry-run import plan.,1
JOT-9501G-RA-POL,Jota 9501G Metal Cilalama Ucu (Polisher) - Step 1,Cilalama Frezleri,9501G,RA,,POL,9501,Batch 01: add missing variant to existing family after dry-run import plan.,1
JOT-9765F-RA-POL,Jota 9765F Kompozit Cilalama Ucu (Polisher) - Step 2,Cilalama Frezleri,9765F,RA,,POL,9765,Batch 01: add missing variant to existing family after dry-run import plan.,1
JOT-9805F-RA-POL,Jota 9805F Seramik Cilalama Ucu (Polisher) - Step 3,Cilalama Frezleri,9805F,RA,,POL,9805,Batch 01: add missing variant to existing family after dry-run import plan.,1
JOT-9805M-RA-POL,Jota 9805M Seramik Cilalama Ucu (Polisher) - Step 2,Cilalama Frezleri,9805M,RA,,POL,9805M,Batch 01: add missing variant to existing family after dry-run import plan.,1
JOT-9812F-RA-POL,Jota 9812F Seramik Cilalama Ucu (Polisher) - Step 3,Cilalama Frezleri,9812F,RA,,POL,9812,Batch 01: add missing variant to existing family after dry-run import plan.,1
JOT-9812G-RA-POL,Jota 9812G Seramik Cilalama Ucu (Polisher) - Step 1,Cilalama Frezleri,9812G,RA,,POL,9812,Batch 01: add missing variant to existing family after dry-run import plan.,1
JOT-9813F-RA-POL,Jota 9813F Seramik Cilalama Ucu (Polisher) - Step 3,Cilalama Frezleri,9813F,RA,,POL,9813,Batch 01: add missing variant to existing family after dry-run import plan.,1
JOT-9813G-RA-POL,Jota 9813G Seramik Cilalama Ucu (Polisher) - Step 1,Cilalama Frezleri,9813G,RA,,POL,9813,Batch 01: add missing variant to existing family after dry-run import plan.,1
JOT-C151-FG-SUR,Jota C151 Cerrahi Karbit Frez - Cerrahi Karbit,Karbit Frezler,C151,FG,,SUR,C151,Batch 01: add missing variant to existing family after dry-run import plan.,1
JOT-C152-FG-SUR,Jota C152 Cerrahi Karbit Frez - Cerrahi Karbit,Karbit Frezler,C152,FG,,SUR,C152,Batch 01: add missing variant to existing family after dry-run import plan.,1
JOT-GP662-RA-ARK,Jota GP662 Glaze Prep Zirkonya & Seramik Ayar Frezi,Elmas Frezler,GP662,RA,,ARK,GP662,Batch 01: add missing variant to existing family after dry-run import plan.,1
JOT-LS9871F-RA-POL,Jota LS9871F Lityum Disilikat Cilalama Ucu (Polisher) - Step 2,Cilalama Frezleri,LS9871F,RA,,POL,LS9871,Batch 01: add missing variant to existing family after dry-run import plan.,1
JOT-LS9871M-RA-POL,Jota LS9871M Lityum Disilikat Cilalama Ucu (Polisher) - Step 1,Cilalama Frezleri,LS9871M,RA,,POL,LS9871M,Batch 01: add missing variant to existing family after dry-run import plan.,1
JOT-LS9873F-RA-POL,Jota LS9873F Lityum Disilikat Cilalama Ucu (Polisher) - Step 2,Cilalama Frezleri,LS9873F,RA,,POL,LS9873,Batch 01: add missing variant to existing family after dry-run import plan.,1
JOT-LS9873F-RA-POL,Jota LS9873M Lityum Disilikat Cilalama Ucu (Polisher) - Step 1,Cilalama Frezleri,LS9873F,RA,,POL,LS9873M,Batch 01: add missing variant to existing family after dry-run import plan.,1
JOT-SD661f-RA-CER,Jota SD661F Diamond Stone Seramik Ayar Taşı,Aşındırıcı Taşlar,SD661F,RA,,CER,SD661,Batch 01: add missing variant to existing family after dry-run import plan.,1
JOT-ZIR9861F-RA-POL,Jota ZIR9861F Zirkonya Cilalama Ucu (Polisher) - Step 2,Cilalama Frezleri,ZIR9861F,RA,,POL,ZIR9861,Batch 01: add missing variant to existing family after dry-run import plan.,1
JOT-ZIR9863F-RA-POL,Jota ZIR9863F Zirkonya Cilalama Ucu (Polisher) - Step 2,Cilalama Frezleri,ZIR9863F,RA,,POL,ZIR9863,Batch 01: add missing variant to existing family after dry-run import plan.,1