variant_id,product_id,product_name,current_sku,reference_sku,reference_name,match_confidence,reason
67777a4d-e280-4225-8f37-9d81ec1b422f,b6533653-0b0d-44bd-aa5d-51a457c208f7,Jota 9813M Seramik Cilalama Ucu (Polisher) - Step 2,JOT-9813M-RA-060,JOT-9813M-RA-POL,Jota 9813M Seramik Cilalama Ucu (Polisher) - Step 2,exact_model_holder_diameter,"Model, holder, diameter/type matched one authoritative reference row."
f77a56db-acac-4dd3-95b5-459053e0325e,5c576b0d-6ddc-4158-83e5-cac3735af6ee,Jota 9826 Kompozit Cilalama Ucu (Polisher) - Step 1,JOT-9826-RA-060,JOT-9826-RA-POL,Jota 9826 Kompozit Cilalama Ucu (Polisher) - Step 1,exact_model_holder_diameter,"Model, holder, diameter/type matched one authoritative reference row."
edfa5d17-0858-4565-987c-4874bc7f0182,a3bdf8c8-e539-46e6-86bd-64c9618d71de,Jota 9765M Kompozit Cilalama Ucu (Polisher) - Step 1,JOT-9765M-RA-055,JOT-9765M-RA-POL,Jota 9765M Kompozit Cilalama Ucu (Polisher) - Step 1,exact_model_holder_diameter,"Model, holder, diameter/type matched one authoritative reference row."
502a49cb-b3a2-4ae3-ac97-c3d2b71d3991,f95a59f8-f373-4e8e-bd3c-f2b04e6d4f1d,859L Uzun Alev Elmas Frez,JOTA-859L-FG-012,JOT-859L-FG-012,Jota 859L Elmas Frez - Mavi Kuşak (Standard) Extra Uzun İğne Genel Preparasyon Frezi,exact_model_holder_diameter,"Model, holder, diameter/type matched one authoritative reference row."
c975c2e1-73ea-4776-a09e-f5dcc963d4ff,03ddde4b-d678-4c6e-adbe-330ad44f11df,9805 Polisaj Frezi,JOTA-9805G-RA,JOT-9805G-RA-POL,Jota 9805G Seramik Cilalama Ucu (Polisher) - Step 1,exact_model_holder_diameter,"Model, holder, diameter/type matched one authoritative reference row."
79029996-af41-4b25-80c1-5b6ac36151ed,430b8a94-c1e3-4218-8b88-9eabbca2e68f,Jota ZIR9861M Zirkonya Cilalama Ucu (Polisher) - Step 1,JOT-ZIR9861M-RA-040,JOT-ZIR9861M-RA-POL,Jota ZIR9861M Zirkonya Cilalama Ucu (Polisher) - Step 1,exact_model_holder_diameter,"Model, holder, diameter/type matched one authoritative reference row."
099d1075-dff1-4875-b50a-f529d5b31a31,0ad57fe8-0aca-4bd0-b615-bf0a3d063386,Jota 9825 Kompozit Cilalama Ucu (Polisher) - Step 1,JOT-9825-RA-030,JOT-9825-RA-POL,Jota 9825 Kompozit Cilalama Ucu (Polisher) - Step 1,exact_model_holder_diameter,"Model, holder, diameter/type matched one authoritative reference row."
22fb5461-92cd-4f01-b147-72de85d058ea,e3ca7562-e407-4fed-998f-9de183e22992,Jota 9501M Metal Cilalama Ucu (Polisher) - Step 2,JOT-9501M-RA-030,JOT-9501M-RA-POL,Jota 9501M Metal Cilalama Ucu (Polisher) - Step 2,exact_model_holder_diameter,"Model, holder, diameter/type matched one authoritative reference row."
136164c4-a5f6-44ca-ab86-def061e57083,13d0c867-354a-4043-aa86-f0cc66926fd7,Jota 9812M Seramik Cilalama Ucu (Polisher) - Step 2,JOT-9812M-RA-040,JOT-9812M-RA-POL,Jota 9812M Seramik Cilalama Ucu (Polisher) - Step 2,exact_model_holder_diameter,"Model, holder, diameter/type matched one authoritative reference row."
6ffc09c4-65d7-4ddc-98ec-e9106ee6faa4,2af304b0-1b82-47ef-bc83-54d0b07f30c7,Jota 9832 Kompozit Cilalama Ucu (Polisher) - Step 2,JOT-9832-RA-060,JOT-9832-RA-POL,Jota 9832 Kompozit Cilalama Ucu (Polisher) - Step 2,exact_model_holder_diameter,"Model, holder, diameter/type matched one authoritative reference row."
97e5b884-be9e-41f6-8859-9b05829b846e,eac27551-3d75-45f8-85e1-5e9a84c996bb,Jota 9113M Universal Cilalama Ucu (Polisher),JOT-9113M-RA-050,JOT-9113M-RA-POL,Jota 9113M Universal Cilalama Ucu (Polisher),exact_model_holder_diameter,"Model, holder, diameter/type matched one authoritative reference row."
3da68833-b154-4dd4-bdb1-40c2526eb387,76c0b326-cfe0-4d63-9a42-d3eed95de2c1,Jota 9828 Kompozit Cilalama Ucu (Polisher) - Step 1,JOT-9828-RA-040,JOT-9828-RA-POL,Jota 9828 Kompozit Cilalama Ucu (Polisher) - Step 1,exact_model_holder_diameter,"Model, holder, diameter/type matched one authoritative reference row."
a7d94f2c-938d-4bf7-93eb-ce4563ff3c8d,c2b7db8b-b3a3-4a67-8414-dcbc1845b157,Jota 9150 Universal Cilalama Ucu (Polisher),JOT-9150-RA-014,JOT-9150-RA-POL,Jota 9150 Universal Cilalama Ucu (Polisher),exact_model_holder_diameter,"Model, holder, diameter/type matched one authoritative reference row."
7683b39f-6878-4dc9-a1ab-b3934c896da8,d1888974-018e-48a9-a6d7-b13f6e80f994,Jota 9829 Kompozit Cilalama Ucu (Polisher) - Step 1,JOT-9829-RA-014,JOT-9829-RA-POL,Jota 9829 Kompozit Cilalama Ucu (Polisher) - Step 1,exact_model_holder_diameter,"Model, holder, diameter/type matched one authoritative reference row."
1223f305-4395-48b1-9875-e87511317c31,069b27bc-4ae9-427f-9b31-1860426f0dd1,Jota 9837 Kompozit Cilalama Ucu (Polisher) - Step 2,JOT-9837-RA-014,JOT-9837-RA-POL,Jota 9837 Kompozit Cilalama Ucu (Polisher) - Step 2,exact_model_holder_diameter,"Model, holder, diameter/type matched one authoritative reference row."
b25e435c-708d-4c77-95da-4a5588112181,0061db5a-be9c-46f4-b388-48d667cd35d7,Jota 9834 Kompozit Cilalama Ucu (Polisher) - Step 2,JOT-9834-RA-040,JOT-9834-RA-POL,Jota 9834 Kompozit Cilalama Ucu (Polisher) - Step 2,exact_model_holder_diameter,"Model, holder, diameter/type matched one authoritative reference row."
ca9a7862-94b5-4dc5-87e6-fb143fc4e1b9,2668f3ea-7204-4460-8d2a-93b4b9565f90,Jota 9831 Kompozit Cilalama Ucu (Polisher) - Step 2,JOT-9831-RA-030,JOT-9831-RA-POL,Jota 9831 Kompozit Cilalama Ucu (Polisher) - Step 2,exact_model_holder_diameter,"Model, holder, diameter/type matched one authoritative reference row."
27d5a091-258b-46dc-86a9-5d9c06597b80,34a66256-1b6c-47c8-972d-8ab962e9f037,Jota ZIR9863M Zirkonya Cilalama Ucu (Polisher) - Step 1,JOT-ZIR9863M-RA-014,JOT-ZIR9863M-RA-POL,Jota ZIR9863M Zirkonya Cilalama Ucu (Polisher) - Step 1,exact_model_holder_diameter,"Model, holder, diameter/type matched one authoritative reference row."